*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Customer Solutions & Field Experience,E,UCUS.00000071.02.01,ADMIN - METER MAINTENANCE,-564880.00,-605433.00,-610101.00,-567249.00,-505803.00,-523869.00,-501332.00,-544671.00,-473356.00,-543227.00,-522918.00,-548854.00,-615667.00,-654944.00,-658898.00,-616140.00,-555494.00,-574259.00,-553666.00,-597788.00,-523199.00,-599244.00,-570797.00,-596552.00,-682293.00,-722911.00,-727641.00,-684744.00,-622312.00,-643260.00,-624748.00,-670086.00,-591481.00,-673332.00,-638274.00,-663776.00,-735946.00,-778611.00,-783616.00,-741512.00,-676148.00,-699007.00,-680783.00,-727466.00,-648140.00,-729641.00,-693420.00,-719904.00,-798791.00,-842498.00,-852377.00,-803578.00,-741553.00,-768000.00,-744779.00,-798567.00,-713797.00,-798296.00,-761233.00,-782337.00,-865039.00,-911207.00,-920359.00,-870421.00,-810381.00,-834743.00,-813513.00,-871647.00,-779978.00,-870267.00,-828247.00,-846730.00,-49815732.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000071.05.01,FMO - APPRENTICE PROGRAM,55407.00,48180.00,52998.00,52998.00,50589.00,52998.00,55407.00,50589.00,52998.00,53359.00,52107.00,57069.00,51531.00,49077.00,56439.00,53985.00,51531.00,53985.00,53985.00,53985.00,53985.00,51899.00,55604.00,58132.00,52988.00,50465.00,58035.00,52988.00,55512.00,55512.00,52988.00,58035.00,55512.00,53443.00,57177.00,57177.00,54720.00,52476.00,60347.00,52476.00,60347.00,57723.00,55100.00,60347.00,55100.00,58274.00,59455.00,56753.00,62388.00,56963.00,56963.00,59676.00,62388.00,54251.00,62388.00,59676.00,56963.00,63093.00,58607.00,61398.00,64189.00,55817.00,58607.00,61398.00,61398.00,58607.00,64189.00,58607.00,61398.00,64995.00,57429.00,66044.00,4069222.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000071.06.01,FMO - TEMP EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,-166040.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000079.01.01,ACCOUNT SPECIALIST,75919.00,67127.00,76055.00,76055.00,72598.00,76055.00,79512.00,72598.00,76055.00,76055.00,72598.00,79512.00,67226.00,63806.00,75578.00,72292.00,69006.00,72292.00,72292.00,72292.00,72292.00,69006.00,72292.00,75578.00,69164.00,65969.00,78024.00,71239.00,74631.00,74631.00,71239.00,78024.00,74631.00,71239.00,74631.00,74631.00,76944.00,67736.00,79421.00,69768.00,80234.00,76745.00,73257.00,80234.00,73257.00,76745.00,76745.00,73257.00,80234.00,73257.00,74827.00,79048.00,82641.00,71861.00,82641.00,79048.00,75455.00,82641.00,75455.00,79048.00,82641.00,71861.00,77179.00,81419.00,81419.00,77718.00,85120.00,77718.00,81419.00,85120.00,74017.00,85120.00,5433401.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000092.53.01,RESIDENTIAL MARKET BERS,117.00,101.00,115.00,115.00,110.00,115.00,120.00,110.00,115.00,115.00,110.00,120.00,109.00,104.00,123.00,117.00,112.00,117.00,117.00,117.00,117.00,112.00,117.00,123.00,112.00,107.00,127.00,116.00,121.00,121.00,116.00,127.00,121.00,116.00,121.00,121.00,121.00,110.00,129.00,113.00,130.00,125.00,119.00,130.00,119.00,125.00,125.00,119.00,130.00,119.00,122.00,128.00,134.00,117.00,134.00,128.00,123.00,134.00,123.00,128.00,134.00,117.00,125.00,132.00,132.00,126.00,138.00,126.00,132.00,138.00,120.00,138.00,8723.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000093.03.01,BUS MKT PRICING SERVICES SUPPORT,771.00,691.00,783.00,783.00,747.00,783.00,819.00,747.00,783.00,783.00,747.00,819.00,740.00,705.00,835.00,798.00,762.00,798.00,798.00,798.00,798.00,762.00,798.00,835.00,764.00,729.00,862.00,787.00,825.00,825.00,787.00,862.00,825.00,787.00,825.00,825.00,824.00,749.00,878.00,771.00,887.00,848.00,810.00,887.00,810.00,848.00,848.00,810.00,887.00,810.00,827.00,874.00,913.00,794.00,913.00,874.00,834.00,913.00,834.00,874.00,913.00,794.00,853.00,900.00,900.00,859.00,941.00,859.00,900.00,941.00,818.00,941.00,59324.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000093.48.01,BUS MKT SSDR SRV CNTR SUPP (O&M BASE),882.00,774.00,877.00,877.00,837.00,877.00,917.00,837.00,877.00,877.00,837.00,917.00,829.00,790.00,935.00,895.00,854.00,895.00,895.00,895.00,895.00,854.00,895.00,935.00,857.00,817.00,967.00,883.00,925.00,925.00,883.00,967.00,925.00,883.00,925.00,925.00,924.00,840.00,984.00,865.00,994.00,951.00,908.00,994.00,908.00,951.00,951.00,908.00,994.00,908.00,927.00,980.00,1024.00,891.00,1024.00,980.00,935.00,1024.00,935.00,980.00,1024.00,891.00,957.00,1009.00,1009.00,963.00,1055.00,963.00,1009.00,1055.00,917.00,1055.00,66522.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000094.01.01,DSM SYS & OPER EXCL ADMIN BASE,13327.00,11589.00,13130.00,13130.00,12533.00,13130.00,13727.00,12533.00,13130.00,13130.00,12533.00,13727.00,12419.00,11828.00,14010.00,13401.00,12792.00,13401.00,13401.00,13401.00,13401.00,12792.00,13401.00,14010.00,12839.00,12246.00,14484.00,13224.00,13854.00,13854.00,13224.00,14484.00,13854.00,13224.00,13854.00,13854.00,13838.00,12580.00,14750.00,12958.00,14901.00,14253.00,13605.00,14901.00,13605.00,14253.00,14253.00,13605.00,14901.00,13605.00,13897.00,14681.00,15348.00,13346.00,15348.00,14681.00,14014.00,15348.00,14014.00,14681.00,15348.00,13346.00,14334.00,15121.00,15121.00,14434.00,15809.00,14434.00,15121.00,15809.00,13747.00,15809.00,996679.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000150.17.01,FO_MGA_SOUTH_BBASEAM1,121421.00,105584.00,119626.00,119626.00,114189.00,119626.00,125064.00,114189.00,119626.00,119626.00,114189.00,100169.00,85887.00,81798.00,96889.00,92677.00,88464.00,92677.00,103634.00,103634.00,103634.00,98923.00,103634.00,108345.00,99287.00,94701.00,112005.00,102266.00,107136.00,107136.00,102266.00,112005.00,107136.00,102266.00,107136.00,107136.00,107014.00,97285.00,114067.00,100204.00,115234.00,110224.00,105214.00,115234.00,105214.00,110224.00,110224.00,105214.00,115234.00,105214.00,107468.00,113531.00,118691.00,103210.00,118691.00,113531.00,108370.00,118691.00,108370.00,113531.00,118691.00,103210.00,110847.00,116937.00,116937.00,111621.00,122252.00,111621.00,116937.00,122252.00,106306.00,122252.00,7833347.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000151.01.01,FO_MGA_ADM_BASE_ADM1,21872.00,19019.00,21549.00,21549.00,20569.00,21549.00,22528.00,20569.00,21549.00,21549.00,20569.00,22528.00,20373.00,19403.00,22983.00,21983.00,20984.00,21983.00,22513.00,22513.00,22513.00,21490.00,22513.00,23536.00,21561.00,20565.00,24323.00,22208.00,23265.00,23265.00,22208.00,24323.00,23265.00,22208.00,23265.00,23265.00,23236.00,21123.00,24767.00,21757.00,25021.00,23933.00,22845.00,25021.00,22845.00,23933.00,23933.00,22845.00,25021.00,22845.00,23334.00,24651.00,25771.00,22410.00,25771.00,24651.00,23530.00,25771.00,23530.00,24651.00,25771.00,22410.00,24068.00,25390.00,25390.00,24236.00,26544.00,24236.00,25390.00,26544.00,23082.00,26544.00,1664704.00
