*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Business Services,E,UCUS.00000004.03.01,BASE ADMIN CUST CARE PRCS COORD,100288.00,86158.00,92976.00,94011.00,86025.00,89473.00,94324.00,84622.00,92200.00,93984.00,91892.00,103161.00,87913.00,83106.00,100748.00,95801.00,90854.00,95801.00,95801.00,95801.00,95801.00,90854.00,95801.00,100748.00,91038.00,86073.00,104201.00,93989.00,99095.00,99095.00,93989.00,104201.00,99095.00,93989.00,99095.00,99095.00,98799.00,88599.00,107128.00,91407.00,107128.00,101887.00,96647.00,107128.00,96647.00,101887.00,101887.00,96647.00,106932.00,96451.00,99399.00,104780.00,110160.00,94018.00,110160.00,104780.00,99399.00,110160.00,99399.00,104780.00,110064.00,94636.00,102460.00,107865.00,108571.00,101638.00,113386.00,103050.00,107159.00,113386.00,97529.00,112680.00,7109733.00
  [+] Business Services,E,UCUS.00000008.01.01,CS SUPPORT SERVICES ADMIN BASE,32666.00,28405.00,32183.00,32183.00,31498.00,35605.00,37224.00,32276.00,32183.00,32183.00,30720.00,33648.00,30431.00,28982.00,34329.00,32836.00,32267.00,36221.00,36221.00,35914.00,32836.00,31344.00,32836.00,34329.00,31451.00,29998.00,35479.00,32394.00,35016.00,37329.00,35632.00,38563.00,33937.00,32394.00,33937.00,33937.00,33895.00,30814.00,36129.00,31738.00,36499.00,34912.00,33325.00,36499.00,33325.00,34912.00,34912.00,33325.00,36499.00,33325.00,34039.00,35959.00,37594.00,32690.00,37594.00,35959.00,34325.00,37594.00,34325.00,35959.00,37594.00,32690.00,35109.00,37038.00,37038.00,35354.00,38721.00,35354.00,37038.00,38721.00,33671.00,38721.00,2472575.00
  [+] Business Services,E,UCUS.00000009.01.01,DATA ANALYTICS,43434.00,37769.00,42792.00,42792.00,40847.00,42792.00,44737.00,40847.00,42792.00,42792.00,40847.00,44737.00,40476.00,38549.00,45661.00,43676.00,41691.00,43676.00,43676.00,43676.00,43676.00,41691.00,43676.00,37588.00,41844.00,39911.00,47204.00,43099.00,45152.00,45152.00,43099.00,47204.00,45152.00,43099.00,45152.00,31008.00,45100.00,41000.00,48073.00,42230.00,48565.00,46453.00,44342.00,48565.00,44342.00,46453.00,46453.00,22080.00,48565.00,44342.00,45292.00,47847.00,50022.00,43497.00,50022.00,47847.00,45672.00,50022.00,45672.00,15650.00,50022.00,43497.00,46716.00,49282.00,49282.00,47042.00,51522.00,47042.00,49282.00,51522.00,44802.00,18265.00,3138350.00
  [+] Business Services,E,UCUS.00000010.01.01,CS SAFETY BASE,9988.00,8685.00,9841.00,9841.00,9393.00,9841.00,10288.00,9393.00,9841.00,9841.00,9393.00,10288.00,9308.00,8865.00,10500.00,10044.00,9587.00,10044.00,10044.00,10044.00,10044.00,9587.00,10044.00,10500.00,9623.00,9178.00,10855.00,9911.00,10383.00,10383.00,9911.00,10855.00,10383.00,9911.00,10383.00,10383.00,10371.00,9429.00,11055.00,9711.00,11168.00,10683.00,10197.00,11168.00,10197.00,10683.00,10683.00,10197.00,11168.00,10197.00,10415.00,11003.00,11503.00,10003.00,11503.00,11003.00,10503.00,11503.00,10503.00,11003.00,11503.00,10003.00,10743.00,11333.00,11333.00,10818.00,11848.00,10818.00,11333.00,11848.00,10303.00,11848.00,746983.00
  [+] Business Services,E,UCUS.00000012.04.01,CS LEARNING & DEV ADMIN BASE,46531.00,40462.00,45843.00,45843.00,43760.00,45843.00,47927.00,43760.00,45843.00,45843.00,43760.00,93251.00,43344.00,41280.00,48896.00,46770.00,44644.00,46770.00,46770.00,46770.00,46770.00,44644.00,46770.00,80203.00,44793.00,42724.00,50530.00,46136.00,48333.00,48333.00,46136.00,50530.00,48333.00,46136.00,48333.00,65228.00,48272.00,43884.00,51454.00,45201.00,51981.00,49721.00,47461.00,51981.00,47461.00,49721.00,49721.00,47461.00,51981.00,47461.00,48478.00,51212.00,53540.00,46557.00,53540.00,51212.00,48884.00,53540.00,48884.00,23461.00,53540.00,46557.00,50002.00,52749.00,52749.00,50351.00,55146.00,50351.00,52749.00,55146.00,47953.00,24332.00,3512537.00
  [+] Business Services,E,UCUS.00000012.06.01,QUALITY,11225.00,9761.00,11059.00,11059.00,10556.00,13783.00,15247.00,13921.00,11059.00,11059.00,10556.00,11561.00,10460.00,9962.00,11800.00,11287.00,10774.00,14225.00,14878.00,14878.00,11287.00,10774.00,11287.00,11800.00,10814.00,10314.00,12199.00,11138.00,11669.00,14870.00,14676.00,16074.00,11669.00,11138.00,11669.00,11669.00,11655.00,10596.00,12424.00,10914.00,12551.00,15470.00,15097.00,16535.00,11459.00,12005.00,12005.00,11459.00,12551.00,11459.00,11705.00,12365.00,12927.00,14810.00,17031.00,16291.00,11803.00,12927.00,11803.00,12365.00,12927.00,11241.00,12073.00,12736.00,12736.00,14179.00,17542.00,16017.00,13655.00,13315.00,11578.00,13315.00,903679.00
  [+] Business Services,E,UCUS.00000012.14.01,CC LEARNING & DEVELOPMENT ADMIN BASE,85233.00,74121.00,83973.00,83973.00,80158.00,83973.00,87788.00,80158.00,83973.00,83973.00,80158.00,87788.00,82794.00,79125.00,93715.00,89642.00,85570.00,89642.00,89642.00,89642.00,89642.00,85570.00,89642.00,93715.00,85866.00,81902.00,96859.00,88440.00,92649.00,92649.00,88440.00,96859.00,92649.00,88440.00,92649.00,92649.00,92537.00,84129.00,98633.00,86651.00,99642.00,95312.00,90981.00,99642.00,90981.00,95312.00,95312.00,90981.00,99642.00,90981.00,92930.00,98170.00,102630.00,89249.00,102630.00,98170.00,93709.00,102630.00,93709.00,98170.00,102630.00,89249.00,95850.00,101113.00,101113.00,96519.00,105707.00,96519.00,101113.00,105707.00,91925.00,105707.00,6619550.00
  [+] Business Services,E,UCUS.00000014.01.01,COST & PERFORMANCE,196608.00,177788.00,202421.00,275131.00,262624.00,275131.00,287637.00,262624.00,275131.00,275131.00,262624.00,275979.00,252603.00,240574.00,283975.00,271627.00,259281.00,271627.00,271627.00,271627.00,271627.00,259281.00,260937.00,302063.00,237948.00,226946.00,268171.00,244851.00,256512.00,256512.00,244851.00,268171.00,256512.00,244851.00,256512.00,234246.00,254687.00,231534.00,271338.00,238298.00,274043.00,262128.00,250214.00,274043.00,250214.00,262128.00,262128.00,226417.00,271822.00,248186.00,253411.00,267668.00,279835.00,243335.00,279835.00,267668.00,255502.00,279835.00,255296.00,214204.00,278260.00,241965.00,259804.00,274055.00,274055.00,261598.00,286513.00,261598.00,274055.00,286513.00,249141.00,235909.00,18599001.00
  [+] Business Services,E,UCUS.00000019.01.01,EMERGENCY PREPAREDNESS,24931.00,21679.00,24562.00,24562.00,23446.00,24562.00,25679.00,23446.00,24562.00,24562.00,23446.00,25680.00,23233.00,22127.00,26209.00,25069.00,23930.00,25069.00,25069.00,25069.00,25069.00,23930.00,25069.00,26209.00,24018.00,22909.00,27095.00,24739.00,25917.00,25917.00,24739.00,27095.00,25917.00,24739.00,25917.00,25917.00,25887.00,23534.00,27593.00,24240.00,27876.00,26664.00,25452.00,27876.00,25452.00,26664.00,26664.00,25452.00,27876.00,25452.00,25997.00,27464.00,28712.00,24967.00,28712.00,27464.00,26215.00,28712.00,26215.00,27464.00,28712.00,24967.00,26814.00,28287.00,28287.00,27002.00,29573.00,27002.00,28287.00,29573.00,25716.00,29573.00,1864476.00
  [+] Business Services,E,UCUS.00000074.01.01,CUSTOMER SERVICE ADMIN BASE O&M,8450.00,7710.00,8366.00,8366.00,8112.00,8366.00,8620.00,8112.00,8366.00,8366.00,8112.00,8620.00,8054.00,7802.00,8729.00,8471.00,8212.00,8471.00,8471.00,8471.00,8471.00,8212.00,8471.00,8729.00,8223.00,7972.00,8921.00,8386.00,8654.00,8654.00,8386.00,8921.00,8654.00,8386.00,8654.00,8654.00,8644.00,8110.00,9030.00,8270.00,9094.00,8820.00,8545.00,9094.00,8545.00,8820.00,8820.00,8545.00,9094.00,8545.00,8668.00,9001.00,9284.00,8435.00,9284.00,9001.00,8718.00,9284.00,8718.00,9001.00,9284.00,8435.00,8854.00,9187.00,9187.00,8896.00,9479.00,8896.00,9187.00,9479.00,8605.00,9479.00,622931.00
  [+] Business Services,E,UCUS.00000074.07.01,BU PROJECT FUNDING,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396674.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-8604424.00
  [+] Business Services,E,UCUS.00000090.01.01,COST & PERFORMANCE ADMIN BASE,1774.00,1542.00,1747.00,1747.00,1668.00,1747.00,1827.00,1668.00,1747.00,1747.00,1668.00,1827.00,1653.00,1574.00,1865.00,1784.00,1703.00,1784.00,1784.00,1784.00,1784.00,1703.00,1784.00,1865.00,1709.00,1630.00,1928.00,1760.00,1844.00,1844.00,1760.00,1928.00,1844.00,1760.00,1844.00,1844.00,1842.00,1674.00,1963.00,1725.00,1983.00,1897.00,1811.00,1983.00,1811.00,1897.00,1897.00,1811.00,1983.00,1811.00,1850.00,1954.00,2043.00,1776.00,2043.00,1954.00,1865.00,2043.00,1865.00,1954.00,2043.00,1776.00,1908.00,2013.00,2013.00,1921.00,2104.00,1921.00,2013.00,2104.00,1830.00,2104.00,132650.00
  [+] Business Services,E,UCUS.00000120.01.01,CHANGE MANAGEMENT,45637.00,39684.00,45119.00,44961.00,42918.00,44961.00,47005.00,42918.00,44961.00,44961.00,42918.00,32476.00,42515.00,40490.00,48283.00,45875.00,43790.00,45875.00,45875.00,45875.00,45875.00,43790.00,45875.00,28260.00,43992.00,41964.00,49956.00,45312.00,47469.00,47469.00,45312.00,49627.00,47469.00,45312.00,47469.00,22196.00,47469.00,43153.00,50892.00,44448.00,51116.00,48894.00,46671.00,51116.00,46505.00,49060.00,48894.00,13882.00,51163.00,46715.00,47686.00,50407.00,52698.00,45825.00,52698.00,50407.00,48116.00,52698.00,48286.00,8925.00,52718.00,45841.00,49208.00,51938.00,51938.00,49577.00,54299.00,49577.00,51938.00,54299.00,47216.00,10996.00,3241711.00
  [+] Business Services,E,UCUS.00000121.01.01,STRATEGIC INITIATIVES,109855.00,95526.00,108231.00,108231.00,103311.00,108231.00,113150.00,103311.00,108231.00,108231.00,103311.00,113150.00,102362.00,97487.00,115376.00,110359.00,105343.00,110359.00,110359.00,110359.00,110359.00,105343.00,110359.00,115376.00,105721.00,100686.00,119066.00,108713.00,113890.00,113890.00,108713.00,119066.00,113890.00,108713.00,113890.00,113890.00,113756.00,103414.00,122200.00,106261.00,122200.00,116887.00,111574.00,122200.00,111574.00,116887.00,116887.00,111574.00,122200.00,111574.00,114562.00,120018.00,125473.00,109107.00,125473.00,120018.00,114562.00,125473.00,114562.00,120018.00,125859.00,109453.00,118139.00,123623.00,123616.00,118010.00,129242.00,117997.00,123630.00,129242.00,112377.00,129249.00,8185226.00
  [+] Business Services,E,UCUS.00000218.01.01,CUSTOMER INSIGHTS & POLICY,25777.00,22414.00,25396.00,25396.00,27385.00,28689.00,29993.00,24241.00,25396.00,25396.00,24241.00,26550.00,24021.00,22877.00,27075.00,25898.00,27920.00,29250.00,29250.00,25898.00,25898.00,24721.00,25898.00,27075.00,24812.00,23630.00,27944.00,25514.00,30183.00,30183.00,28811.00,27944.00,26729.00,25514.00,26729.00,26729.00,26699.00,24271.00,28680.00,24939.00,32384.00,30976.00,29568.00,28680.00,26186.00,27433.00,27433.00,26186.00,28680.00,26186.00,26888.00,28168.00,33252.00,28914.00,33252.00,28168.00,26888.00,29449.00,26888.00,28168.00,29545.00,25685.00,27733.00,29020.00,29734.00,31172.00,34142.00,27691.00,29030.00,30339.00,26372.00,30349.00,1980527.00
  [+] Business Services,E,UCUS.00000292.01.01,REPORTING & ANALYTICS,85088.00,65255.00,73900.00,73900.00,73696.00,77193.00,80691.00,70553.00,73900.00,73900.00,70553.00,77248.00,69887.00,66571.00,78741.00,75328.00,75115.00,78680.00,78680.00,75328.00,75328.00,71916.00,75328.00,78741.00,72157.00,68733.00,81234.00,74192.00,81166.00,81166.00,77489.00,81234.00,77713.00,74192.00,77713.00,77713.00,77616.00,70583.00,83359.00,72519.00,87062.00,83288.00,79514.00,83359.00,76132.00,79745.00,79745.00,76132.00,83359.00,76132.00,78164.00,81875.00,89388.00,77761.00,89388.00,81875.00,78164.00,85585.00,78164.00,81875.00,85568.00,74851.00,80324.00,84051.00,88266.00,83291.00,91663.00,80654.00,83639.00,87860.00,76845.00,87449.00,5655464.00
  [+] Business Services,E,Result,,761233.00,650710.00,551302.00,815747.00,779147.00,633084.00,865887.00,775600.00,623078.00,815720.00,777949.00,688857.00,787388.00,747706.00,539236.00,852802.00,819014.00,510828.00,866481.00,859470.00,497802.00,811693.00,842113.00,560527.00,797341.00,757903.00,813476.00,821910.00,871265.00,785279.00,835279.00,911606.00,771779.00,821910.00,863279.00,726991.00,860563.00,778058.00,673284.00,801885.00,936625.00,647324.00,854731.00,933202.00,594163.00,886939.00,886773.00,515474.00,926848.00,842150.00,612818.00,911223.00,962393.00,584278.00,966497.00,915149.00,617659.00,954787.00,867623.00,506321.00,953601.00,824179.00,639070.00,937625.00,943253.00,650703.00,994222.00,897821.00,687443.00,982389.00,849198.00,573302.00,56180968.00
  [+] Customer Care,E,UCUS.00000001.02.01,BASE ADMIN MIAMI CUST CARE,157160.00,129851.00,147143.00,150983.00,143639.00,151369.00,167862.00,144426.00,170807.00,153254.00,157896.00,160686.00,144433.00,128258.00,151274.00,149160.00,141905.00,149546.00,159995.00,148647.00,168984.00,145476.00,162117.00,158773.00,148247.00,132263.00,155810.00,147344.00,152198.00,153884.00,158179.00,159137.00,173321.00,149615.00,166455.00,157156.00,158009.00,135529.00,158413.00,144740.00,162428.00,157785.00,161904.00,163215.00,170893.00,159669.00,170356.00,154728.00,168394.00,145546.00,150077.00,161576.00,166795.00,148923.00,178930.00,161063.00,174881.00,170366.00,168014.00,165235.00,189697.00,157741.00,170163.00,182564.00,181265.00,175477.00,200873.00,174578.00,202388.00,192308.00,180575.00,193697.00,11556048.00
  [+] Customer Care,E,UCUS.00000001.07.01,BASE PHONE RESPONSE TELEMARKETING,24970.00,22277.00,24001.00,23150.00,22330.00,22998.00,24007.00,21710.00,22258.00,21098.00,20084.00,21716.00,23699.00,23159.00,26015.00,24111.00,23247.00,23960.00,23128.00,22732.00,22940.00,21095.00,21909.00,21835.00,25543.00,24754.00,29079.00,25278.00,25985.00,25661.00,23689.00,25473.00,24612.00,23457.00,23755.00,22500.00,26767.00,28184.00,32185.00,27371.00,31140.00,28628.00,27310.00,29486.00,26532.00,26454.00,26361.00,25047.00,30132.00,29991.00,29937.00,30387.00,31589.00,26413.00,30216.00,28642.00,26847.00,28963.00,26709.00,26529.00,26495.00,23504.00,25177.00,26558.00,26730.00,25259.00,27570.00,24963.00,26319.00,27381.00,24117.00,27390.00,1841495.00
  [+] Customer Care,E,UCUS.00000001.12.01,BASE EEE ADMIN MIAMI,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,119.00,174.00,178.00,187.00,213.00,331.00,1167.00,605.00,1063.00,834.00,166.00,279.00,31896.00
  [+] Customer Care,E,UCUS.00000001.17.01,BASE EEE MIAMI REP,37150.00,30577.00,34644.00,34644.00,33070.00,34644.00,36219.00,33070.00,34644.00,34644.00,33070.00,36219.00,31240.00,29682.00,35158.00,33630.00,32101.00,33630.00,33630.00,33630.00,33630.00,32101.00,33630.00,35158.00,32181.00,30694.00,36303.00,33146.00,34724.00,34724.00,33146.00,36303.00,34724.00,33146.00,34724.00,34724.00,34670.00,31518.00,36955.00,32464.00,37333.00,35710.00,34087.00,37333.00,34087.00,35710.00,35710.00,34087.00,37333.00,34087.00,34817.00,36781.00,38453.00,33438.00,38453.00,36781.00,35110.00,38453.00,35110.00,36781.00,38453.00,33438.00,35912.00,37885.00,37885.00,36163.00,39607.00,36163.00,37885.00,39607.00,34441.00,39607.00,2520665.00
  [+] Customer Care,E,UCUS.00000001.18.01,BASE MIAMI REP TIER 1,160147.00,141869.00,150006.00,264906.00,257209.00,294786.00,269281.00,245188.00,243899.00,244758.00,216192.00,231287.00,172317.00,159290.00,181697.00,253330.00,255970.00,265569.00,248992.00,242286.00,239418.00,221641.00,227094.00,233086.00,152431.00,142435.00,164434.00,184966.00,244688.00,216536.00,217510.00,235485.00,218338.00,205545.00,208755.00,203047.00,140313.00,122492.00,140952.00,159191.00,221668.00,243638.00,212052.00,229512.00,202782.00,209702.00,201425.00,187999.00,169662.00,151937.00,149814.00,239133.00,249908.00,201097.00,246104.00,229847.00,212752.00,228738.00,203417.00,206326.00,335022.00,290962.00,312698.00,330028.00,330028.00,314901.00,345155.00,314901.00,330028.00,345155.00,299774.00,345155.00,16468656.00
  [+] Customer Care,E,UCUS.00000001.23.01,BASE MIAMI REP TIER 2,175743.00,149318.00,160207.00,165013.00,152386.00,167558.00,173693.00,158407.00,164542.00,155823.00,146070.00,155618.00,202542.00,187579.00,215877.00,198826.00,189788.00,192804.00,192804.00,192804.00,186782.00,170015.00,176521.00,184544.00,216782.00,206459.00,236157.00,244439.00,245270.00,239309.00,228431.00,246813.00,230039.00,215223.00,222069.00,217701.00,273640.00,235070.00,272336.00,238740.00,268204.00,250052.00,235572.00,251617.00,229737.00,232730.00,223565.00,211884.00,248641.00,221269.00,225305.00,267319.00,262940.00,227160.00,253020.00,240213.00,226179.00,242911.00,212605.00,219507.00,266828.00,232024.00,249194.00,262884.00,262884.00,250934.00,274833.00,250934.00,262884.00,274833.00,238985.00,274833.00,15836221.00
  [+] Customer Care,E,UCUS.00000001.28.01,BASE MIAMI REP TIER 3,5951.00,5175.00,5692.00,5863.00,5596.00,5863.00,6129.00,5596.00,5863.00,5863.00,5596.00,6129.00,5534.00,5271.00,6238.00,5967.00,5696.00,5967.00,5967.00,5967.00,5967.00,5696.00,5967.00,6238.00,5707.00,5436.00,6428.00,5869.00,6149.00,6149.00,5869.00,6428.00,6149.00,5869.00,6149.00,6149.00,6138.00,5580.00,6594.00,5734.00,6594.00,6307.00,6020.00,6594.00,6020.00,6307.00,6307.00,6020.00,6594.00,6020.00,6182.00,6476.00,6770.00,5887.00,6770.00,6476.00,6182.00,6770.00,6182.00,6476.00,3777.00,3285.00,3528.00,3721.00,3721.00,3552.00,3891.00,3552.00,3721.00,3891.00,3383.00,3891.00,407050.00
  [+] Customer Care,E,UCUS.00000001.41.01,CC RESTORATION SUPPORT GROUP,94523.00,82639.00,93479.00,93726.00,89775.00,94713.00,99651.00,91996.00,95947.00,94960.00,90516.00,98170.00,85966.00,81321.00,96115.00,92233.00,88350.00,93220.00,93960.00,94701.00,94454.00,89337.00,93220.00,96609.00,88530.00,84023.00,99168.00,90891.00,95400.00,96140.00,92618.00,101883.00,97374.00,92125.00,96140.00,95400.00,95240.00,86237.00,100916.00,89037.00,102431.00,98789.00,95147.00,104652.00,95640.00,99036.00,98789.00,93666.00,102431.00,93172.00,95145.00,100694.00,105455.00,92653.00,106936.00,103162.00,98401.00,106442.00,97167.00,100941.00,105455.00,91419.00,98100.00,103674.00,103920.00,100011.00,110051.00,101492.00,105895.00,109557.00,95362.00,108570.00,6944963.00
  [+] Customer Care,E,UCUS.00000002.02.01,BASE ADMIN WPB CUST CARE,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,25045.00,5300.00,3967.00,4178.00,4412.00,5884.00,3522.00,17859.00,9643.00,10421.00,5261.00,11377.00,641216.00
  [+] Customer Care,E,UCUS.00000002.04.01,BASE EEE ADMIN WPB CUST CARE,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,79.00,116.00,119.00,125.00,142.00,221.00,778.00,404.00,709.00,556.00,111.00,186.00,21262.00
  [+] Customer Care,E,UCUS.00000005.03.01,BASE ADMIN CUST CARE MIS,110898.00,97356.00,110257.00,110257.00,109929.00,117102.00,122409.00,110171.00,110257.00,110257.00,105262.00,115252.00,97450.00,92500.00,109399.00,104658.00,104841.00,111428.00,111428.00,107735.00,104658.00,99917.00,104658.00,109399.00,100283.00,95512.00,112881.00,103096.00,113231.00,114773.00,109572.00,115965.00,107989.00,103096.00,107989.00,107989.00,107866.00,98092.00,115925.00,100761.00,121363.00,117574.00,112246.00,118900.00,105781.00,110801.00,110801.00,105781.00,115822.00,105781.00,108655.00,113728.00,125038.00,109578.00,125962.00,116807.00,108575.00,118881.00,108575.00,113728.00,106771.00,92891.00,99738.00,105198.00,111354.00,106897.00,117043.00,100432.00,105198.00,109963.00,95667.00,109963.00,7837989.00
  [+] Customer Care,E,UCUS.00000006.03.01,BASE ADMIN CUST CARE PLANNING,55609.00,49325.00,55841.00,55841.00,53318.00,55841.00,58364.00,53318.00,55841.00,55841.00,53318.00,58364.00,52813.00,50314.00,59535.00,56961.00,54387.00,56961.00,56961.00,56961.00,56961.00,54387.00,56961.00,59535.00,54565.00,52061.00,61512.00,56192.00,58852.00,58852.00,56192.00,61512.00,58852.00,56192.00,58852.00,58852.00,58778.00,53465.00,62630.00,55059.00,63267.00,60531.00,57795.00,63267.00,57795.00,60531.00,60531.00,57795.00,63267.00,57795.00,59026.00,62337.00,65155.00,56700.00,65155.00,62337.00,59519.00,65155.00,59519.00,62337.00,65155.00,56700.00,60871.00,64197.00,64197.00,61294.00,67100.00,61294.00,64197.00,67100.00,58391.00,67100.00,4233382.00
  [+] Customer Care,E,UCUS.00000006.05.01,BASE OUTSOURCE CUST CARE PLANNING,42265.00,37618.00,42621.00,42621.00,40683.00,42621.00,44558.00,40683.00,42621.00,42621.00,40683.00,44558.00,33542.00,31623.00,37457.00,35828.00,34200.00,35828.00,35828.00,35828.00,35828.00,34200.00,35828.00,37457.00,34326.00,32740.00,38722.00,35355.00,37039.00,37039.00,35355.00,38722.00,37039.00,35355.00,37039.00,37039.00,36997.00,33633.00,39435.00,34642.00,39839.00,38107.00,36374.00,39839.00,36374.00,38107.00,38107.00,36374.00,39839.00,36374.00,37154.00,39250.00,41034.00,35682.00,41034.00,39250.00,37466.00,41034.00,37466.00,39250.00,41034.00,35682.00,38322.00,40427.00,40427.00,38590.00,42265.00,38590.00,40427.00,42265.00,36752.00,42265.00,2753074.00
  [+] Customer Care,E,UCUS.00000015.01.01,CUSTOMER ADVOCACY ADMIN,28905.00,25200.00,28485.00,28485.00,27213.00,28485.00,29757.00,27213.00,28485.00,28485.00,27213.00,29757.00,26959.00,25699.00,30329.00,29032.00,27735.00,29032.00,29032.00,29032.00,29032.00,27735.00,29032.00,30329.00,27826.00,26533.00,31286.00,28609.00,29947.00,29947.00,28609.00,31286.00,29947.00,28609.00,29947.00,29947.00,29911.00,27237.00,32043.00,27986.00,32109.00,30735.00,29361.00,32109.00,29361.00,30735.00,30735.00,29361.00,32109.00,29361.00,30102.00,31565.00,32977.00,28741.00,32977.00,31565.00,30153.00,32977.00,30153.00,31565.00,21708.00,18942.00,20307.00,21395.00,21395.00,20445.00,22345.00,20445.00,21395.00,22345.00,19495.00,22345.00,2021637.00
  [+] Customer Care,E,UCUS.00000016.01.01,CUSTOMER ADVOCACY OPERATIONS,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,840.00,60450.00
  [+] Customer Care,E,UCUS.00000017.01.01,REGULATORY & EXECUTIVE RESPONSE,109209.00,95901.00,108209.00,112755.00,107783.00,112755.00,117728.00,107783.00,112755.00,112755.00,107783.00,117728.00,106685.00,101765.00,119853.00,114788.00,109723.00,114788.00,114788.00,114788.00,114788.00,109723.00,114788.00,119853.00,109990.00,104960.00,123513.00,113065.00,118289.00,118289.00,113065.00,123513.00,118289.00,113065.00,118289.00,118289.00,118111.00,107679.00,126331.00,110631.00,126722.00,121358.00,115994.00,126722.00,115994.00,121358.00,121358.00,115994.00,126722.00,115994.00,118823.00,124637.00,130150.00,113612.00,130150.00,124637.00,119125.00,130150.00,119125.00,124637.00,125711.00,109752.00,117625.00,123902.00,123902.00,118423.00,129382.00,118423.00,123902.00,129382.00,112944.00,129382.00,8440830.00
